Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1.0625,0.875,-0.9375,-0.03076172,0,0.9477539,0.09082031,-0.112793,-0.3110352
0.8125,1.0625,-0.5,-0.05810547,0,0.9829102,0.09179688,-0.112793,-0.3168945
0.875,1.0625,-0.8125,-0.03076172,-0.01513672,0.9711914,0.09179688,-0.112793,-0.3168945
0.375,0.75,-1.125,-0.04248047,0.01513672,0.9633789,0.09179688,-0.112793,-0.3168945
0.75,0.9375,-0.625,-0.05029297,0.01123047,0.9672852,0.09179688,-0.112793,-0.3168945
0.8125,1.25,-0.125,-0.05029297,0.01513672,0.9672852,0.09179688,-0.112793,-0.3168945
0.6875,0.9375,-0.9375,-0.05810547,0.01513672,0.9868164,0.09179688,-0.112793,-0.3168945
0.0625,1,-0.6875,-0.04248047,0.01123047,0.9868164,0.09179688,-0.112793,-0.3168945
0.4375,0.375,-0.8125,-0.06201172,0.02685547,0.9868164,0.08740234,-0.1118164,-0.3168945
0.1875,0.5,-0.3125,-0.06201172,0,0.9672852,0.08740234,-0.1118164,-0.3168945
0.4375,0.25,0.0625,-0.07373047,0.01123047,0.9907227,0.08740234,-0.1118164,-0.3168945
-0.625,-0.0625,-0.25,-0.05029297,0.007324219,0.9633789,0.08837891,-0.105957,-0.3110352
-0.0625,0,-0.3125,-0.04638672,0.007324219,0.9477539,0.08837891,-0.105957,-0.3110352
0,0,-0.4375,-0.04638672,0.003417969,0.9829102,0.08837891,-0.105957,-0.3110352
0.875,0.1875,-0.3125,-0.05029297,0.01513672,0.9711914,0.08740234,-0.1142578,-0.3125
0.1875,-0.0625,-0.125,-0.05029297,0.01123047,0.9555664,0.08740234,-0.1142578,-0.3125
0,0.375,-0.3125,-0.05419922,0.02685547,0.9711914,0.08740234,-0.1142578,-0.3125
0.375,0.625,-0.3125,-0.03466797,0.01123047,0.9868164,0.08740234,-0.1142578,-0.3125
0.375,-0.5625,-0.25,-0.04638672,0.01123047,0.9868164,0.08984375,-0.1142578,-0.3081055
0.0625,0.1875,-0.6875,-0.03857422,0.007324219,0.9946289,0.08984375,-0.1142578,-0.3081055
0.125,-0.5,-0.6875,-0.04248047,0.007324219,0.9829102,0.08984375,-0.1142578,-0.3081055
0.1875,-0.5625,-0.75,-0.04248047,-0.007324219,0.9711914,0.09082031,-0.1118164,-0.3027344
-0.25,-0.25,-0.625,-0.05029297,0.01904297,0.9907227,0.09082031,-0.1118164,-0.3027344
